Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
49,0.9,0.2,0.2,1.0,0.8,0.2,0.15,0.8,0.2,0.85,0.75,0.8,0.2,0.2,0.8,0.05,0.3,0.15,0.3,0.55
50,1.0,0.15,0.05,0.85,0.7,0.2,0.1,0.85,0.1,0.85,0.8,0.9,0.65,0.3,0.85,0.05,0.05,0.1,0.25,0.85
51,1.0,0.2,0.05,0.6,0.95,0.25,0.2,0.65,0.2,0.85,0.7,0.75,0.8,0.5,0.9,0.0,0.05,0.1,0.2,0.8
52,0.95,0.15,0.1,0.55,0.75,0.35,0.3,0.65,0.35,0.85,0.45,0.65,0.6,0.7,0.8,0.15,0.05,0.05,0.3,0.7
53,1.0,0.1,0.05,0.45,0.9,0.5,0.45,0.85,0.5,0.95,0.45,0.55,0.55,0.6,0.95,0.2,0.05,0.1,0.4,0.55
54,0.95,0.0,0.0,0.2,1.0,0.65,0.75,0.85,0.45,0.95,0.35,0.25,0.25,0.75,0.9,0.2,0.05,0.25,0.6,0.25
55,0.95,0.05,0.0,0.25,0.95,0.45,0.6,0.75,0.45,0.9,0.35,0.4,0.3,0.8,0.75,0.35,0.15,0.45,0.55,0.25
56,0.7,0.05,0.05,0.0,0.9,0.75,0.7,0.75,0.5,0.9,0.25,0.2,0.4,0.8,0.65,0.35,0.35,0.35,0.65,0.05
57,0.55,0.05,0.05,0.0,0.85,0.7,0.7,0.8,0.6,0.9,0.1,0.2,0.4,0.85,0.8,0.2,0.5,0.4,0.7,0.1
58,0.6,0.1,0.15,0.05,0.8,0.6,0.55,0.8,0.45,0.95,0.15,0.25,0.35,0.8,0.75,0.1,0.75,0.4,0.65,0.25
59,0.65,0.1,0.3,0.1,0.65,0.65,0.6,0.95,0.5,0.95,0.2,0.0,0.3,0.9,0.8,0.35,0.9,0.25,0.8,0.3
60,0.65,0.1,0.35,0.05,0.7,0.55,0.55,1.0,0.6,0.9,0.25,0.0,0.5,1.0,0.9,0.4,0.75,0.35,0.8,0.35
