Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 1, 1, 1, 0, 1, 0, 0]",0.9826018872605116,6.05906413277543,9.98334393347374,2.19339847479723,13499,5,5,1.090643068919092,1.9394477087321813,2.94783797116339,10.269296390263849,2.193225348157932,31291,5,5
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.958384981860693,4.41715136726456,10.0706438070737,2.27125370096672,14505,2,8,1.1982820635453515,1.5565287557993197,3.8130985187268776,10.135942840255533,2.2812849800900024,54228,2,8
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.9725023327525558,4.84805015913423,10.2145524684793,2.07424867357841,35973,3,7,1.1982857804106049,1.5903001981586962,3.779343732029509,10.086904049612231,2.1040305323266613,5387,3,7
"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",0.9929202863673489,5.04308769214333,10.166631335932,2.216888902813,56188,3,7,1.1663018937999847,1.6966206789080327,3.5297001096639087,10.034379268959016,2.331659788756441,53480,3,7
"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0.9872461772261505,4.76326542209059,10.1202892663741,2.19705143201563,32995,3,7,1.16176481881901,1.701473107027267,3.504516573948578,10.046297282641248,2.3451966266247446,5403,3,7
"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",0.9689468987921952,5.19085887752516,9.89315886479846,2.14943298439797,11858,4,6,1.1613886108335447,1.734273369268637,3.4700304843706355,10.196006400415554,2.1949549351334783,32279,4,6
"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0.9612198710402131,5.26341010307563,10.1147447589602,2.20881334209039,6011,3,7,1.1832090313833834,1.492345526469305,3.809737914205914,10.227737295525165,2.2439911805118387,23026,3,7
"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",0.9973909661293227,5.00142756692711,10.0323785938084,2.15212156273857,2432,4,6,1.155222258841248,1.6175111794972503,3.559160605825653,10.250730527854548,2.155953827413619,31156,4,6
"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",0.9844354474319507,5.01106254589477,9.92498279907588,2.26423050163741,64288,4,6,1.1332375021775434,1.7671948280340235,3.310960962936118,10.152897273477356,2.1267857417759672,15576,4,6
"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0.9744085352282794,4.78967276220758,10.0300738745947,2.23194647890401,70615,3,7,1.1928631520988635,1.6611483671645324,3.684196198318008,10.1835971238365,2.270134557536162,32124,3,7
"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",0.9892291339691452,4.85470414808271,10.0929425146356,2.19831391297976,49370,4,6,1.145594867515892,1.823101621779964,3.310428815928825,10.197178040762571,2.190533630876032,33713,4,6
"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0.9838745684647175,4.85913082830959,10.0634209317056,2.25742253512271,25556,4,6,1.115927930148539,1.7099260647583594,3.290663723260591,10.100846530720364,2.2958685325115917,12285,4,6
"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",0.9813116595967846,5.6254029218356,9.99503263739586,2.24278896328574,44826,5,5,1.0771702860619017,1.84919834256547,2.977714388009893,10.10733703701746,2.0707591880051,68074,5,5
"[1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",0.9988699154207317,6.08465133561022,9.96079275175269,2.22817193534802,76283,5,5,1.1134590365359278,1.9333623085734304,3.056164108905735,10.129950426859011,2.2678632305764133,29465,5,5
"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.9682584886024489,4.92851589422803,9.96864734595092,2.13134302585247,18386,3,7,1.1599169618620397,1.5418891546428604,3.6558200860114343,10.085173337287689,2.097803438757947,69788,3,7
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.9967825089160138,5.12750145857591,9.98159733390766,2.31137929963442,35507,4,6,1.145899005302753,1.6390252538173689,3.495868057129053,10.09019206007173,2.086144274524726,49167,4,6
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]",0.9988845156509298,5.90115199823168,9.78694379287513,2.03338397369962,53541,5,5,1.0886214760794044,1.819133252300704,3.059093458609004,10.085331718432377,2.218022632402438,36904,5,5
"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]",0.9957065092088051,6.04147899380236,10.1297424005719,2.11648221782774,92236,5,5,1.0893948396527624,1.7312941963693766,3.150398037611203,10.116295450050693,2.1570206301092982,44588,5,5
"[1, 0, 1, 0, 1, 1, 1, 0, 0, 0]",0.9985086823667455,6.05407961358934,10.1829429434749,2.30076164111997,19798,5,5,1.0630187320629,1.840555887100177,2.922942249664825,10.079222626591342,2.228490903948771,57735,5,5
"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0]",0.9867957953695945,5.24638275559107,10.1489292776531,2.26649341448769,51696,4,6,1.1154783017803946,1.7995307806399383,3.1990441756274253,9.99593812181758,2.2172504341201744,75138,4,6
"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1]",0.9949104420237748,5.54730134310961,10.1900499931142,2.19275293386602,33263,5,5,1.0795405713917392,1.820001102418485,3.017533124666513,10.149499776159418,2.23287312538963,39916,5,5
"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]",0.9738598955068157,5.66381828820174,10.0490505899926,2.35309535315098,82258,5,5,1.0689342795977483,1.8836177384387491,2.906388585633085,10.075802807183432,2.2625197310684864,58636,5,5
"[1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",0.9882805055467493,6.46827609898874,10.0434717912528,2.16058352073553,38553,6,4,1.0101371941846906,2.010605916197849,2.515924517596127,10.158006486411482,2.177468772375673,27279,6,4
"[1, 0, 1, 1, 0, 0, 1, 1, 1, 0]",0.9905448498036582,6.4810285927369,10.0670911236119,2.19800364035158,997,6,4,1.010388268292943,2.0067159187155355,2.5209396044214376,10.174990021631949,2.097836300071514,36162,6,4
"[1, 0, 1, 1, 0, 1, 0, 0, 1, 0]",0.9887742353752291,5.71932800893758,9.9919958164716,2.19688749415267,45587,5,5,1.0728311339274021,1.7584878695396728,3.048980666418614,10.133576007965686,2.257022453500603,66928,5,5
"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",0.9852305561379822,5.66052063300449,10.0617111606002,2.06960148666519,61073,5,5,1.0857071822394204,1.8720801831850624,2.99308727217436,10.167950368154854,2.2223029876113283,12471,5,5
"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",0.9825521153942647,5.33939031929501,10.0469517062662,2.23801321707772,98114,5,5,1.064933107266843,1.749351317289287,3.022725335020173,9.789850010745283,2.171502537107627,19943,5,5
"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0]",0.9961446592240758,6.32657272604937,9.99494375166767,2.22374795140804,69350,6,4,1.0070033827682905,1.892126756328351,2.6203607406925107,10.085931602458604,2.282706407834396,23376,6,4
"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0]",0.979306947295615,5.3982266078962,9.92646451041303,2.15865386580906,39126,5,5,1.0808606935765184,1.906668222068382,2.936781610619628,10.133734871121147,2.153871935797241,34803,5,5
"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1]",0.9961342443837031,6.60879430495054,10.062073258441,2.21741537346551,53454,6,4,1.0066257438262975,1.964314122926306,2.546481134492096,10.006735739609352,2.133966314933852,74101,6,4
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.9927645936979471,4.34359834191617,10.1404477716319,2.2950361543799,39291,2,8,1.2173654603703823,1.5899496988950217,3.865192273046501,10.031792433909365,2.152575610218489,5072,2,8
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0.9975059831928943,4.52783393633526,10.134881459829,2.18760360604962,93240,3,7,1.187546234209452,1.668751956985428,3.652766943251878,10.248406143916334,2.309970526596593,48634,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0.9939706389195438,4.13508934759031,9.90479136442956,2.20230027068443,53675,3,7,1.190736322712919,1.652640014152421,3.683174006372081,10.2069827748945,2.184576102607733,72216,3,7
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",0.9991739759594286,5.07838531733622,10.017276992989,2.23556387064058,94811,4,6,1.1431929930561642,1.8053228168122264,3.317444570191469,10.247236153946824,2.2598883267918204,97784,4,6
