Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 1, 0, 1, 1, 1, 1, 1, 0, 1]",0.7749031717400429,8.24910776288587,10.1203411024808,2.21039438759102,99796,8,2,0.45708557346391876,12.053039417015764,2.650065298048053,9.919805581677142,2.097277597207685,83259,8,2
"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",0.7722897775564571,8.36685490040338,10.0153239719197,2.18236653996006,15562,8,2,0.44578868166030555,12.127984389651596,2.2117323893534984,10.174925569580576,2.1385867445451185,37707,8,2
"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.49668063781729277,8.61718711935108,10.0895693820631,2.13887469543274,56031,9,1,0.21867222195289815,8.588625250667082,-1.5545800645900476,10.198191180774998,2.305237917903024,83471,9,1
"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0.9198288590384188,7.49800502849403,10.1203411024808,2.21039438759102,99796,7,3,0.6715415004233725,14.791840716369965,6.809683318637299,10.008720976733173,2.296374408112889,533,7,3
"[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]",0.9947066504388193,6.66030085032864,10.0396830323781,2.17378063674774,3899,6,4,0.8848208505819474,16.5590832900665,11.90301303379649,10.005929439858024,2.2769563152387966,52854,6,4
"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1]",0.9638839139496279,7.28900186832633,10.0895693820631,2.13887469543274,56031,7,3,0.6847352028623629,14.58846278122298,7.437464034799163,10.15079482616584,2.079010094133563,60137,7,3
"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",0.957777150790913,7.60965510893723,10.1203411024808,2.21039438759102,99796,7,3,0.6665109226769097,14.107382041426998,7.332323035211079,10.200355742350736,2.2145516611632936,78641,7,3
"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1]",0.9406998293795809,7.46908776026497,10.0895693820631,2.13887469543274,56031,7,3,0.637456201164288,14.560557553662258,5.944542193759896,10.039105393694552,2.2201214890650247,27698,7,3
"[1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",0.9461053191594394,7.43134512210272,10.1307405115154,2.23191928208107,17371,7,3,0.7019791663782472,15.0992981559268,7.481316482236377,10.154917471975184,2.1559369400165536,8774,7,3
"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",0.7652981456753709,8.59506313758926,10.0396830323781,2.17378063674774,3899,8,2,0.4179876854077438,11.71581841682649,1.729621704119129,10.16782825350856,2.289187764497441,99382,8,2
"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",0.9255422585300213,7.431148319502,10.1203411024808,2.21039438759102,99796,7,3,0.6837851322390782,14.078886917221707,7.916478908316749,10.135450581984747,2.252824190021141,72119,7,3
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",0.9843700221474723,7.29338279543145,10.0396830323781,2.17378063674774,3899,7,3,0.6977287047655166,14.523350302773116,7.920539429141696,10.190367391807523,2.1391948726360206,98979,7,3
"[1, 1, 1, 0, 1, 0, 1, 1, 0, 1]",0.9317390433731478,7.1122128456948,10.1203411024808,2.21039438759102,99796,7,3,0.6764653085135031,14.945645669385252,6.814262856730396,10.005929439858024,2.2769563152387966,52854,7,3
"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",0.9297113937438337,7.56246879901412,10.0153239719197,2.18236653996006,15562,7,3,0.7065007519117641,15.193227668623756,7.532833138565504,10.183638915360328,2.113917009870203,19356,7,3
"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1]",0.7835703902889659,8.52444244569915,10.0895693820631,2.13887469543274,56031,8,2,0.4355649608849846,12.244425161587037,1.7664244514781036,10.079042486765577,2.147278294625182,33175,8,2
