Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1.0658751929734473,5.82818547631934,10.1073370370175,2.0707591880051,68074,6,4,0.990302766022453,1.917959636577369,2.5196906498166944,10.107420935679349,2.12981859060975,66472,6,4
"[1, 1, 1, 0, 1, 0, 1, 0, 0, 1]",1.0600616500507776,6.03991230577651,10.0886840412488,2.14232626396349,81634,6,4,0.996514575032883,1.885479057449651,2.580006994914125,10.00893688564683,2.154386575261926,17418,6,4
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",1.0339880524060636,6.35119215545382,10.166745055899,2.28207894590275,64092,6,4,0.97760735983459,1.9383097612434557,2.442451082004105,10.128854966870808,2.2695270402142005,10378,6,4
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",1.0336601104476713,7.41580110217085,10.1614308187685,2.27797097481558,12987,7,3,0.8574251755267035,2.249990399554374,1.5922215040032968,10.11733897164135,2.144975403333621,19527,7,3
"[1, 1, 1, 0, 1, 0, 1, 1, 0, 1]",1.0277898666528107,7.50999906299111,10.129950426859,2.26786323057641,29465,7,3,0.8953312318555376,2.2398017846053104,1.7722711225718395,10.243806087360444,2.2682606402905456,52314,7,3
"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1.0019312830100988,7.2052592833548,10.0640277140322,2.31019330361272,13298,7,3,0.8443064567428831,2.2118419772485445,1.571583575138999,10.000549245007788,2.2851062567344216,64572,7,3
"[1, 1, 1, 0, 1, 1, 0, 0, 1, 0]",1.0384098658830894,6.047613607317871,9.91830110701731,2.11385890568289,89844,6,4,0.9819369218991834,2.035441521416993,2.3647205423412125,9.963158985897747,2.2201554059276973,57828,6,4
"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",1.0031562850699027,7.30722944873727,10.0081660881851,2.17411989693462,39582,7,3,0.8661903277458135,2.176289684874034,1.7051997826670733,10.339453364511357,2.230726078679842,70770,7,3
"[1, 1, 1, 0, 1, 1, 0, 1, 0, 0]",1.0651098618300385,6.43584221442802,10.1785308447147,2.27772026061295,75641,6,4,0.9656260888220567,2.051101502490157,2.2759700120345463,9.914208462644742,2.192064857139828,14701,6,4
"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1]",1.0014892559541235,7.19884902685248,10.0322042296216,2.14782371053464,66062,7,3,0.7975949380760132,2.290848117343244,1.2832582335817877,9.924739193205216,2.260598079105374,4274,7,3
"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1.0361157517084183,7.19317137899667,10.1044882033935,2.14802988850413,6749,7,3,0.8670131355533495,2.114949425804556,1.77022712959295,10.028008261502457,2.2221155501591494,81801,7,3
"[1, 1, 1, 0, 1, 1, 1, 0, 0, 0]",1.093780542454224,6.31182264782127,9.90624363763214,2.28199936863804,2145,6,4,0.9749218513244103,2.0595003093273663,2.309226489365135,10.190049993114227,2.1927529338660183,33263,6,4
"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1]",1.0285946574071057,7.26926292431817,10.0901920600717,2.08614427452473,49167,7,3,0.8467175516770301,2.2432261892463448,1.5510037317566845,10.16598558474202,2.1680996403873385,75379,7,3
"[1, 1, 1, 1, 0, 0, 0, 0, 1, 1]",1.1074511484279623,6.53226091875129,10.1162954500507,2.1570206301093,44588,6,4,0.9834599940819903,2.016472476764611,2.390514632767604,10.06171116060019,2.069601486665188,61073,6,4
"[1, 1, 1, 1, 0, 0, 0, 1, 0, 1]",1.0254604407948558,6.09181436711413,10.0057182185308,2.2182671360898,84911,6,4,0.9704439237894952,2.0253822147001923,2.323278522289198,10.09747915924534,2.254888583952903,59121,6,4
"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0]",1.0451406222788446,6.27286638775565,9.93641956112077,2.16021769171063,38773,6,4,0.9802325193881338,2.1479115573540426,2.2446129004610142,10.155284236833507,2.2472245736052736,34268,6,4
"[1, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1.1118490538216648,7.17062234986803,10.1670486852194,2.17423110594736,14717,7,3,0.8540923752528438,2.2425133219997,1.5847639548991044,10.046951706266237,2.2380132170777185,98114,7,3
"[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",1.073147576846191,6.10723224264173,10.0816445604393,2.14227684214626,49293,6,4,0.9755144504801487,2.1595254251013123,2.2118568723976213,10.242455745092151,2.2986595286477685,91351,6,4
"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0]",1.0653019327729079,5.97505617467393,10.1350488128628,2.1273671804906,21002,6,4,0.9948762452534492,2.1135272892022976,2.34461723604032,10.050559821966557,2.243253172772581,70310,6,4
"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1]",1.0023685627040004,7.21730636131196,9.99593812181758,2.21725043412017,75138,7,3,0.8952497793681858,2.251239485373751,1.7604684246871365,10.143688576805634,2.18213881656056,31745,7,3
"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0]",1.060614240676284,6.58930301749522,10.1286101813132,2.18147975844661,53470,6,4,0.994779435480822,1.9554953549434984,2.50221535558107,10.114623242430657,2.114727454878439,28528,6,4
"[1, 1, 1, 1, 0, 1, 0, 1, 0, 1]",1.0155391686828266,7.29098677481288,10.2603235069474,2.21436692323939,56830,7,3,0.879607028995539,2.2545043558825,1.6871067534292794,10.08843744860785,2.155067734151631,14851,7,3
"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1.032118659340124,7.1113890625772,9.92424196877844,2.21851820491175,11984,7,3,0.8683558925426653,2.159200753416748,1.7319928365106405,9.856485102439065,2.1584822373552,73544,7,3
"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0]",1.028111849354783,7.72494788316448,10.1494997761594,2.23287312538963,39916,7,3,0.8325907732740162,2.22113980450458,1.509786544725391,10.070408518762434,2.3280681705395443,47851,7,3
"[1, 1, 1, 1, 1, 0, 0, 0, 0, 1]",1.0963434073270149,6.10485455404691,10.0315675323454,2.17636193724575,4368,6,4,0.9917542903650071,2.018529134375484,2.425625584436066,10.126733514535912,2.343769570901744,53862,6,4
